row_idx,col_idx,log2ratio
閑聊,2015/3/20,0.00324675324675325
閑聊,2015/3/21,0
閑聊,2015/3/22,0
閑聊,2015/3/23,0
閑聊,2015/3/24,0.00448430493273543
閑聊,2015/3/25,0.00714285714285714
閑聊,2015/3/26,0.00546448087431694
閑聊,2015/3/27,0
閑聊,2015/3/28,0
閑聊,2015/3/29,0
閑聊,2015/3/30,1.15254237288136
建國,2015/3/20,0
建國,2015/3/21,0
建國,2015/3/22,0.00392156862745098
建國,2015/3/23,0
建國,2015/3/24,0.62780269058296
建國,2015/3/25,0.285714285714286
建國,2015/3/26,0.19672131147541
建國,2015/3/27,0
建國,2015/3/28,0
建國,2015/3/29,0.0149253731343284
建國,2015/3/30,0
發電,2015/3/20,0
發電,2015/3/21,0
發電,2015/3/22,0
發電,2015/3/23,0
發電,2015/3/24,0
發電,2015/3/25,0
發電,2015/3/26,0.765027322404372
發電,2015/3/27,0
發電,2015/3/28,0.11731843575419
發電,2015/3/29,0.0447761194029851
發電,2015/3/30,0.135593220338983
楊國禎,2015/3/20,0
楊國禎,2015/3/21,0
楊國禎,2015/3/22,0
楊國禎,2015/3/23,0
楊國禎,2015/3/24,0.00896860986547085
楊國禎,2015/3/25,1.02857142857143
楊國禎,2015/3/26,0
楊國禎,2015/3/27,0
楊國禎,2015/3/28,0
楊國禎,2015/3/29,0
楊國禎,2015/3/30,0
楊實秋,2015/3/20,0
楊實秋,2015/3/21,0
楊實秋,2015/3/22,0
楊實秋,2015/3/23,0
楊實秋,2015/3/24,0.00448430493273543
楊實秋,2015/3/25,0
楊實秋,2015/3/26,0
楊實秋,2015/3/27,1.00869565217391
楊實秋,2015/3/28,0.0223463687150838
楊實秋,2015/3/29,0
楊實秋,2015/3/30,0
事事,2015/3/20,0
事事,2015/3/21,0.00432900432900433
事事,2015/3/22,0
事事,2015/3/23,0
事事,2015/3/24,0
事事,2015/3/25,0
事事,2015/3/26,0.00546448087431694
事事,2015/3/27,0
事事,2015/3/28,1.00558659217877
事事,2015/3/29,0.0149253731343284
事事,2015/3/30,0
臺南縣市,2015/3/20,0
臺南縣市,2015/3/21,0
臺南縣市,2015/3/22,0.0156862745098039
臺南縣市,2015/3/23,0.909090909090909
臺南縣市,2015/3/24,0
臺南縣市,2015/3/25,0
臺南縣市,2015/3/26,0
臺南縣市,2015/3/27,0
臺南縣市,2015/3/28,0
臺南縣市,2015/3/29,0
臺南縣市,2015/3/30,0
分工合作,2015/3/20,0
分工合作,2015/3/21,0
分工合作,2015/3/22,0.00392156862745098
分工合作,2015/3/23,0
分工合作,2015/3/24,0
分工合作,2015/3/25,0
分工合作,2015/3/26,0
分工合作,2015/3/27,0
分工合作,2015/3/28,0.837988826815642
分工合作,2015/3/29,0
分工合作,2015/3/30,0.0677966101694915
親簽,2015/3/20,0
親簽,2015/3/21,0
親簽,2015/3/22,0
親簽,2015/3/23,0
親簽,2015/3/24,0
親簽,2015/3/25,0
親簽,2015/3/26,0
親簽,2015/3/27,0.00434782608695652
親簽,2015/3/28,0.871508379888268
親簽,2015/3/29,0
親簽,2015/3/30,0
點數,2015/3/20,0
點數,2015/3/21,0.00432900432900433
點數,2015/3/22,0
點數,2015/3/23,0
點數,2015/3/24,0.84304932735426
點數,2015/3/25,0
點數,2015/3/26,0
點數,2015/3/27,0.0173913043478261
點數,2015/3/28,0
點數,2015/3/29,0
點數,2015/3/30,0
就職,2015/3/20,0
就職,2015/3/21,0
就職,2015/3/22,0
就職,2015/3/23,0
就職,2015/3/24,0.538116591928251
